2024-11-26 10:37:30,X,Win
2024-11-26 10:40:21,X,Win
2024-11-26 10:44:47,O,Win
2024-11-26 10:47:46,X,Win
2024-11-26 11:13:34,X,Win
2024-11-26 11:32:06,X,Win
2024-11-26 11:32:44,O,Win
2024-11-26 11:33:06,X,Win
2024-11-26 12:03:40,O,Win
2024-11-26 12:07:55,O,Win
2024-11-26 12:11:43,O,Win
2024-11-26 12:13:37,X,Win
2024-11-26 12:13:44,X,Win
2024-11-26 12:13:55,X,Win
2024-11-26 12:14:56,O,Win
2024-11-26 12:15:15,X,Win
2024-11-26 12:15:28,O,Win
2024-11-26 12:15:45,X,Win
2024-11-26 12:20:35,O,Win
2024-11-26 12:20:48,X,Win
2024-11-26 12:27:39,X,Win
2024-11-26 12:27:48,O,Win
2024-11-26 12:27:56,O,Win
2024-11-26 12:28:50,X,Win
2024-11-26 12:33:02,O,Win
2024-11-26 12:33:09,X,Win
2024-11-26 12:45:32,O,Win
2024-11-26 12:50:02,X,Win
2024-11-26 13:12:36,O,Win
2024-11-26 14:03:53,X,Win
2024-11-26 14:14:42,X,Win
2024-11-26 14:19:36,X,Win
2024-11-26 14:19:51,X,Win
2024-11-26 14:19:55,X,Win
2024-11-26 14:35:10,X,Win
2024-11-26 14:41:58,X,Win
2024-11-26 14:43:41,X,Win
2024-11-26 14:44:00,X,Win
2024-11-26 14:47:44,X,Win
2024-11-26 14:47:49,O,Win
2024-11-26 14:47:59,X,Win
2024-11-26 14:48:44,X,Win
2024-11-26 14:54:45,Draw,Draw
2024-11-26 14:54:56,X,Win
2024-11-26 14:55:08,O,Win
2024-11-26 16:07:19,X,Win
2024-11-26 16:09:29,X,Win
2024-11-26 16:10:43,X,Win
2024-11-26 16:21:48,X,Win
2024-11-26 16:22:13,X,Win
2024-11-26 16:32:13,Draw,Draw
2024-11-26 16:37:06,win,Win
2024-11-26 16:40:47,Player,Win
2024-11-26 16:45:49,Player,Win
2024-11-26 16:47:08,Player,Win
2024-11-26 16:49:11,Player,Win
2024-11-26 16:51:10,X,Win
2024-11-26 17:15:44,X,Win
2024-11-26 17:29:53,X,Win
